,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.3554999999999999,104.3,0.95,0.67,0.2,1.7,76.7,2.1,415.0,1.6,78.7,95.1
ZELIN,https://hltv.org/stats/players/9001/ZELIN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.023250000000000003,91.7,0.88,0.63,0.15,1.35,74.4,5.1,327.0,1.32,83.2,80.8
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1640000000000001,83.0,0.81,0.61,0.13,1.16,74.0,2.0,807.0,1.54,78.1,79.5
oskar,https://hltv.org/stats/players/798/oskar?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.9365000000000001,82.7,0.81,0.63,0.11,1.39,73.5,2.8,369.0,1.64,74.1,75.3
device,https://hltv.org/stats/players/7592/device?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1520000000000001,82.8,0.79,0.62,0.12,1.33,70.7,3.6,608.0,1.39,77.4,75.9
mou,https://hltv.org/stats/players/964/mou?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7805,80.6,0.8,0.61,0.12,1.31,72.3,3.6,405.0,1.42,80.5,70.2
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.288,90.0,0.83,0.69,0.15,1.44,69.7,2.9,289.0,1.2,72.2,77.8
paz,https://hltv.org/stats/players/9353/paz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.25425,81.9,0.78,0.62,0.15,1.21,74.7,1.5,244.0,1.05,76.8,77.0
XigN,https://hltv.org/stats/players/9172/XigN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.38774999999999993,86.1,0.81,0.67,0.13,1.34,71.4,1.8,256.0,1.13,76.1,77.5
KILLDREAM,https://hltv.org/stats/players/5792/KILLDREAM?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.0235,90.9,0.83,0.68,0.19,1.39,73.3,1.4,185.0,1.31,79.0,74.0
