,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
vilga,https://hltv.org/stats/players/1572/vilga?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.37,0.0,0.0,0.0,0.0,0.0,94.9,0.9,0.64,0.18,1.51,76.3,5.3,48.3,946.0,540.0,244.0,1.71,1.22,86.9,18.8,853.0,609.0,0.0
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.35,1.3,0.93,1.23,1.23,1.33,98.4,0.88,0.68,0.18,1.52,74.4,3.2,47.9,1636.0,906.0,319.0,1.29,1.26,74.6,21.0,1434.0,1115.0,0.0
frozen,https://hltv.org/stats/players/9960/frozen?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.35,0.0,0.0,0.0,0.77,1.17,92.1,0.86,0.6,0.16,1.42,76.6,5.0,58.2,902.0,489.0,227.0,1.21,1.14,78.6,16.5,772.0,545.0,0.0
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.33,0.0,0.0,0.95,0.94,1.21,90.6,0.8,0.6,0.22,1.41,78.2,9.2,37.8,1247.0,656.0,244.0,1.49,1.26,80.1,20.2,998.0,754.0,0.0
juliano,https://hltv.org/stats/players/7653/juliano?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.29,0.0,0.0,0.0,0.0,0.0,86.7,0.82,0.6,0.15,1.33,75.3,3.7,45.8,892.0,482.0,199.0,1.56,1.2,77.9,17.0,732.0,533.0,0.0
dizzyLife,https://hltv.org/stats/players/8766/dizzyLife?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.28,0.0,0.0,0.0,0.0,0.0,87.5,0.84,0.63,0.14,1.42,72.9,3.0,30.1,1150.0,606.0,248.0,1.42,1.22,80.7,21.5,967.0,719.0,0.0
zAAz,https://hltv.org/stats/players/1646/zAAz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.28,0.0,0.0,0.0,0.0,0.0,88.1,0.84,0.63,0.15,1.33,75.6,2.7,55.7,892.0,479.0,184.0,1.45,1.14,83.6,16.5,748.0,564.0,0.0
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,1.38,1.22,1.24,1.21,1.28,93.0,0.85,0.71,0.16,1.46,71.2,6.9,53.1,2175.0,1124.0,304.0,1.19,1.19,75.2,21.0,1838.0,1534.0,0.0
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,1.24,1.3,1.1,1.16,1.18,87.7,0.83,0.64,0.14,1.36,74.6,2.7,48.1,1706.0,890.0,326.0,1.02,1.09,72.2,16.3,1424.0,1098.0,0.0
huNter-,https://hltv.org/stats/players/3972/huNter-?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.27,0.0,0.0,0.86,0.92,0.97,88.7,0.81,0.65,0.17,1.34,74.4,5.4,42.3,1011.0,530.0,165.0,1.4,1.19,79.9,18.7,818.0,653.0,0.0
