,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
Jamppi,https://hltv.org/stats/players/14087/Jamppi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.31,0.61,0.61,0.91,0.93,1.04,2,2,10,11,13,85.2,0.87,0.62,0.1,1.45,73.9,2.8,29.8,1341,731,325,1.65,1.34,72.9,24.1,1160,835,79.6
ZywOo,https://hltv.org/stats/players/11893/ZywOo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.3,1.26,1.26,1.28,1.28,1.29,37,71,132,152,175,85.8,0.83,0.61,0.12,1.39,74.8,3.7,38,4920,2570,1097,1.59,1.23,74.6,20.1,4085,2988,84.5
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.29,1.26,1.21,1.26,1.28,1.29,21,55,107,126,135,84.8,0.85,0.6,0.1,1.34,74.6,2.9,43.2,3701,2002,922,1.81,1.2,75.7,18.8,3128,2206,87.1
witz,https://hltv.org/stats/players/13995/witz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.24,0,0,1.07,1.07,0.94,0,0,2,2,8,79.7,0.77,0.58,0.12,1.25,75.3,3.6,29.2,1363,696,266,1.77,1.2,79.9,18.8,1052,786,79.2
Papichulo,https://hltv.org/stats/players/15440/Papichulo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.23,0,0,1.3,1.3,1.07,0,0,2,2,8,81.6,0.77,0.6,0.13,1.25,76.5,3.7,49.9,1363,685,233,1.26,1.12,76.6,16.9,1050,817,83
device,https://hltv.org/stats/players/7592/device?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.22,1.13,1.2,1.21,1.21,1.22,48,89,116,124,142,81.1,0.77,0.6,0.13,1.29,72.5,4.8,32.1,3841,1932,656,1.6,1.2,77.6,18.2,2959,2303,78.8
xsepower,https://hltv.org/stats/players/12733/xsepower?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.22,0,1.19,1.17,1.15,1.16,0,14,23,45,58,74.5,0.74,0.55,0.09,1.3,73.2,2,24.5,2039,1008,379,1.78,1.33,75.6,22.5,1509,1130,81.8
INS,https://hltv.org/stats/players/11140/INS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.21,1.05,1.03,1,1,1.01,4,10,12,12,17,85.1,0.79,0.63,0.16,1.26,72.8,8.1,41.3,1242,625,199,1.15,1.05,75.9,14.2,986,787,75.5
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.21,1.15,1.18,1.2,1.2,1.21,52,96,147,162,173,86.1,0.78,0.65,0.15,1.31,71.2,4.8,50.3,4844,2437,626,1.12,1.14,79.4,18.9,3786,3160,78.7
huNter-,https://hltv.org/stats/players/3972/huNter-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.21,1.08,1.14,1.13,1.17,1.19,18,39,79,102,127,85.6,0.78,0.66,0.14,1.28,72.1,5.7,52.1,3962,1976,482,1.17,1.12,77.4,18.5,3095,2613,76
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.21,1.15,1.14,1.21,1.2,1.2,21,55,107,126,135,84.6,0.75,0.63,0.15,1.25,72.9,5.4,47.5,3701,1833,448,1.25,1.12,72.7,17.1,2788,2340,74.1
