,Webpage,AgainstTop50
ZywOo,https://hltv.org/stats/players/11893/ZywOo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
device,https://hltv.org/stats/players/7592/device?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
xsepower,https://hltv.org/stats/players/12733/xsepower?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
huNter-,https://hltv.org/stats/players/3972/huNter-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Jame,https://hltv.org/stats/players/13776/Jame?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Kaze,https://hltv.org/stats/players/8950/Kaze?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ropz,https://hltv.org/stats/players/11816/ropz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
syrsoN,https://hltv.org/stats/players/7266/syrsoN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
sdy,https://hltv.org/stats/players/12731/sdy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
woxic,https://hltv.org/stats/players/8574/woxic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
poizon,https://hltv.org/stats/players/12126/poizon?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
jks,https://hltv.org/stats/players/4679/jks?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
roeJ,https://hltv.org/stats/players/14419/roeJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
KSCERATO,https://hltv.org/stats/players/15631/KSCERATO?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Bubzkji,https://hltv.org/stats/players/9612/Bubzkji?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
dexter,https://hltv.org/stats/players/9115/dexter?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
floppy,https://hltv.org/stats/players/12713/floppy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
dycha,https://hltv.org/stats/players/16080/dycha?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
FL1T,https://hltv.org/stats/players/12732/FL1T?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
smooya,https://hltv.org/stats/players/11271/smooya?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
HEN1,https://hltv.org/stats/players/8565/HEN1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
frozen,https://hltv.org/stats/players/9960/frozen?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
acoR,https://hltv.org/stats/players/10330/acoR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
SHiPZ,https://hltv.org/stats/players/11343/SHiPZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
WARDELL,https://hltv.org/stats/players/11264/WARDELL?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Ethan,https://hltv.org/stats/players/10671/Ethan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
allu,https://hltv.org/stats/players/695/allu?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
valde,https://hltv.org/stats/players/9031/valde?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
iDISBALANCE,https://hltv.org/stats/players/14273/iDISBALANCE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
yuurih,https://hltv.org/stats/players/12553/yuurih?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Brollan,https://hltv.org/stats/players/13666/Brollan?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
fer,https://hltv.org/stats/players/8564/fer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
almazer,https://hltv.org/stats/players/11654/almazer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
alex,https://hltv.org/stats/players/8371/alex?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
buster,https://hltv.org/stats/players/11942/buster?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
k1to,https://hltv.org/stats/players/12781/k1to?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Jerry,https://hltv.org/stats/players/13157/Jerry?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
blameF,https://hltv.org/stats/players/15165/blameF?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Vegi,https://hltv.org/stats/players/15204/Vegi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
rain,https://hltv.org/stats/players/8183/rain?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
aumaN,https://hltv.org/stats/players/8604/aumaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
motm,https://hltv.org/stats/players/13230/motm?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
facecrack,https://hltv.org/stats/players/8726/facecrack?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
JW,https://hltv.org/stats/players/3849/JW?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
sjuush,https://hltv.org/stats/players/14148/sjuush?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
oSee,https://hltv.org/stats/players/13249/oSee?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Plopski,https://hltv.org/stats/players/14218/Plopski?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
kNgV-,https://hltv.org/stats/players/5736/kNgV-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
shox,https://hltv.org/stats/players/1225/shox?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
