,Webpage,AgainstTop50
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
oskar,https://hltv.org/stats/players/798/oskar?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
device,https://hltv.org/stats/players/7592/device?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
mou,https://hltv.org/stats/players/964/mou?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
paz,https://hltv.org/stats/players/9353/paz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
XigN,https://hltv.org/stats/players/9172/XigN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
valde,https://hltv.org/stats/players/9031/valde?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
shox,https://hltv.org/stats/players/1225/shox?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
draken,https://hltv.org/stats/players/9255/draken?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Savage,https://hltv.org/stats/players/180/Savage?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
LOVEYY,https://hltv.org/stats/players/8957/LOVEYY?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
HEN1,https://hltv.org/stats/players/8565/HEN1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
DD,https://hltv.org/stats/players/7026/DD?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
captainMo,https://hltv.org/stats/players/5187/captainMo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
ZOREE,https://hltv.org/stats/players/8576/ZOREE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
twist,https://hltv.org/stats/players/7443/twist?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
tb,https://hltv.org/stats/players/839/tb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
znajder,https://hltv.org/stats/players/3847/znajder?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
allu,https://hltv.org/stats/players/695/allu?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SAGGERTON,https://hltv.org/stats/players/7529/SAGGERTON?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
keev,https://hltv.org/stats/players/5799/keev?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
DESPE,https://hltv.org/stats/players/7980/DESPE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
jks,https://hltv.org/stats/players/4679/jks?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
rain,https://hltv.org/stats/players/8183/rain?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
fer,https://hltv.org/stats/players/8564/fer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
BARBARR,https://hltv.org/stats/players/44/BARBARR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Rickeh,https://hltv.org/stats/players/8745/Rickeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
byali,https://hltv.org/stats/players/5386/byali?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
kalle,https://hltv.org/stats/players/646/kalle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
nex,https://hltv.org/stats/players/7256/nex?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
fnx,https://hltv.org/stats/players/557/fnx?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Edward,https://hltv.org/stats/players/483/Edward?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
felps,https://hltv.org/stats/players/9219/felps?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
STYKO,https://hltv.org/stats/players/6904/STYKO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
xelos,https://hltv.org/stats/players/5373/xelos?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Ex6TenZ,https://hltv.org/stats/players/7166/Ex6TenZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
JW,https://hltv.org/stats/players/3849/JW?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
USTILO,https://hltv.org/stats/players/8771/USTILO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SZPERO,https://hltv.org/stats/players/973/SZPERO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
crisby,https://hltv.org/stats/players/1064/crisby?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
fox,https://hltv.org/stats/players/629/fox?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
n0thing,https://hltv.org/stats/players/203/n0thing?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Happy,https://hltv.org/stats/players/7429/Happy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
seized,https://hltv.org/stats/players/3347/seized?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
wenton,https://hltv.org/stats/players/2031/wenton?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Artill,https://hltv.org/stats/players/10167/Artill?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Pimp,https://hltv.org/stats/players/7154/Pimp?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
sAw,https://hltv.org/stats/players/7821/sAw?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
glace,https://hltv.org/stats/players/1883/glace?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Argency,https://hltv.org/stats/players/9906/Argency?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
shroud,https://hltv.org/stats/players/8349/shroud?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
rindA,https://hltv.org/stats/players/9336/rindA?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
steel,https://hltv.org/stats/players/7382/steel?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
RUBINO,https://hltv.org/stats/players/1485/RUBINO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
RpK,https://hltv.org/stats/players/7169/RpK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
NEO,https://hltv.org/stats/players/165/NEO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
markeloff,https://hltv.org/stats/players/338/markeloff?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
SIXER,https://hltv.org/stats/players/147/SIXER?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Dosia,https://hltv.org/stats/players/735/Dosia?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
Sound,https://hltv.org/stats/players/9175/Sound?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
wayLander,https://hltv.org/stats/players/7796/wayLander?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True
