,Webpage
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
device,https://hltv.org/stats/players/7592/device?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
zehN,https://hltv.org/stats/players/1378/zehN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
woxic,https://hltv.org/stats/players/8574/woxic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Olivia,https://hltv.org/stats/players/10664/Olivia?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Infinite,https://hltv.org/stats/players/14619/Infinite?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
allu,https://hltv.org/stats/players/695/allu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
syrsoN,https://hltv.org/stats/players/7266/syrsoN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
motm,https://hltv.org/stats/players/13230/motm?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
